demands,rdf,rde,success,time_over
105231,15,207,13,0
105231,66,430,13,0
105231,125,644,13,0
105231,173,865,14,0
105231,218,1086,14,0
105231,268,1291,15,0
105231,314,1500,16,0
105231,369,1715,16,0
105231,421,1906,16,0
105231,478,2135,17,0
105231,531,2348,19,0
105231,592,2546,20,0
105231,647,2765,21,0
105231,709,2995,21,0
105231,763,3231,23,0
105231,816,3466,24,0
105231,861,3680,24,0
105231,894,3884,26,0
105231,952,4115,27,0
105231,1011,4342,30,0
105231,1054,4559,30,0
105231,1090,4785,33,0
105231,1121,5025,33,0
105231,1162,5252,33,0
105231,1186,5490,34,0
105231,1209,5713,34,0
105231,1236,5930,36,0
105231,1265,6150,36,0
105231,1298,6349,41,0
105231,1329,6556,41,0
105231,1353,6751,43,0
105231,1394,6976,45,0
105231,1433,7204,45,0
105231,1465,7419,46,0
105231,1510,7643,47,0
105231,1553,7847,47,0
105231,1589,8068,48,0
105231,1639,8282,50,0
105231,1675,8508,52,0
105231,1732,8748,52,0
105231,1782,8948,55,0
105231,1824,9165,55,0
105231,1877,9397,55,0
105231,1910,9602,57,0
105231,1959,9817,58,0
105231,2011,10035,60,0
105231,2074,10245,61,0
105231,2157,10485,64,0
105231,2242,10724,67,0
105231,2325,10968,68,0
105231,2416,11217,69,0
105231,2489,11459,72,0
105231,2568,11688,75,0
105231,2654,11929,77,0
105231,2722,12162,79,0
105231,2783,12401,83,0
105231,2852,12684,86,0
105231,2920,12951,88,0
105231,2988,13183,89,0
105231,3073,13472,90,0
105231,3157,13730,90,0
105231,3246,14024,91,0
105231,3330,14259,93,0
105231,3397,14561,98,0
105231,3461,14801,101,0
105231,3559,15082,103,0
105231,3642,15341,104,0
105231,3702,15627,108,0
105231,3762,15924,116,0
105231,3820,16203,118,0
105231,3882,16474,103,0
105231,3959,16706,104,0
105231,4050,16929,104,0
105231,4117,17151,106,0
105231,4185,17380,107,0
105231,4252,17595,109,0
105231,4332,17829,110,0
105231,4407,18054,113,0
105231,4502,18253,119,0
105231,4604,18485,124,0
105231,4704,18719,126,0
105231,4811,18926,129,0
105231,4917,19128,135,0
105231,5018,19337,139,0
105231,5109,19549,141,0
105231,5201,19840,127,0
105231,5297,20056,130,0
105231,5404,20268,133,0
105231,5510,20469,135,0
105231,5616,20703,137,0
105231,5729,20927,141,0
105231,5818,21137,144,0
105231,5915,21370,146,0
105231,5987,21567,153,0
105231,6086,21794,153,0
105231,6176,22019,157,0
105231,6269,22237,144,0
105231,6379,22471,127,0
105231,6464,22666,131,0
105231,6577,22872,124,0
105231,6761,23060,61,0
105231,6895,23243,55,0
105231,7069,23414,29,0
105231,7240,23579,-10,0
105231,7366,23737,-15,0
105231,7711,23909,-219,0
105231,8533,24036,-909,0
105231,15065,24168,-7289,0
105231,101365,24235,-93759,0
105231,368969,24304,-361204,0
105231,4631837,24372,-4623898,0
105231,52189491,24421,-52313668,0
105231,890501858,24472,-890625853,0
105231,155236897,26030,-159179569,0
105231,545561855,-28229537,-1974409106,0
105231,46157377,-486663939,-1517730861,0
105231,1731449892,-1455528085,1030922211,0
105231,772750775,554217976,1222460276,0
105231,-1136925090,-1838757764,921831225,0
105231,-930621939,-1666655978,1688093972,0
105231,20175515,1617997352,-1185687017,0
105231,-736021842,-151728077,-1148459378,0
105231,-1823787210,-1718992040,-1736956956,0
105231,2109979335,-403979199,-325593833,0
105231,2084031448,-1388274978,1232250400,0
105231,-1815863466,-790610699,-2020221459,0
105231,876692296,1821493442,-1655181049,0
105231,348582504,885963826,-2110656177,0
105231,-1065334039,-1131596528,-5631043,0
105231,2136616998,492636631,-2114486577,0
105231,1999586252,1939711555,425737970,0
105231,-43548697,2086079618,1312614071,0
105231,-1263285504,-1922180327,1248774535,0
105231,1762634911,-1393498490,203144783,0
105231,-190522770,164377280,1073480311,0
105231,-310707706,299023889,497093670,0
105231,460827302,1381984786,1584329371,0
105231,978787840,1317356271,-1800396033,0
105231,-13870054,1979506824,-1832741157,0
105231,-1138507147,-2103070037,-810876124,0
105231,1514051520,1744953384,-892685196,0
105231,-432713197,2009904662,-34211925,0
105231,-1405761797,1943960406,-1056670085,0
105231,165495510,610950983,-991842877,0
105231,-699512954,1054611362,-1457729852,0
105231,-555116347,-807587617,1079015686,0
105231,-569102112,367270685,-2077691432,0
105231,1742889691,-627821213,-538554650,0
105231,1578489507,467635772,694816111,0
105231,-1253460094,1200177189,605287492,0
105231,-1220931877,1722572685,1049092285,0
105231,1485591065,-1660873293,1166032947,0
105231,-1399245971,-762112558,-1279868330,0
105231,1037471837,127658335,1077597390,0
105231,-1171221550,509607606,-461844828,0
105231,1856798529,1133677535,-1674667784,0
105231,-1234623570,952133634,-34043100,0
105231,-1083180136,971337332,1356822168,0
105231,2090276186,-396488579,1230896175,0
105231,335866621,2098513777,191287865,0
105231,-2023182562,554833247,1815262209,0
105231,1237351302,-941584296,1343609934,0
105231,-2077156620,2016321962,-1440407410,0
105231,-1734649643,702309702,755652267,0
105231,-292457959,-839725257,-295583930,0
105231,-2076613846,2055647716,-132078252,0
105231,-652157276,-881595523,-542611109,0
105231,-1174910192,-339925209,364893773,0
105231,547647738,2124122659,332943604,0
105231,2112576964,-683924007,-696175659,0
105231,-322767451,-1669599841,-529430909,0
105231,-1982816146,-841261476,862634845,0
105231,-251632803,138676179,411716981,0
105231,-341477883,-587999101,1949008615,0
105231,995417283,1476146884,1315078390,0
105231,-1820809774,-1343357866,1825187335,0
105231,-947363721,-1354625912,-1942906028,0
105231,550768993,-828936827,1652476444,0
105231,1194171012,-735922558,-845837540,0
105231,-44721117,-1053038061,-497523772,0
105231,-1143998162,-1264926801,-747716632,0
105231,-626745601,2010855413,-1045415061,0
105231,-2111762955,1778361424,1951829316,0
105231,-1069704663,383570910,1491663963,0
105231,-659835664,1815901814,706317645,0
105231,698833392,157470047,1616236486,0
105231,664208010,821080299,-1619752651,0
105231,-56956539,-785713108,-2008550066,0
105231,-787944882,-21285635,870013619,0
105231,1269593224,1502651569,62718824,0
105231,1403017847,1326764174,-1063470819,0
105231,-502732807,-1219207288,-2086527393,0
105231,1438663986,1338736781,717902067,0
105231,2083330573,25616409,23597221,0
105231,1636587408,-1962853348,-2033383692,0
105231,737510642,-701525042,-1250037477,0
105231,2100386046,755260872,-557169945,0
105231,1141348939,940376757,1693751895,0
105231,2102463164,2030339544,-604684826,0
105231,671176061,563588230,111942784,0
105231,-1552546039,824818636,-808952834,0
105231,1081861879,1770163165,-1348949577,0
105231,1849053111,586143955,-1736440623,0
105231,-597263768,1952180165,75539887,0
105231,-1432897999,1021204309,308708783,0
105231,-789523224,-1161658949,-863797221,0
105231,-239456074,-546209297,1427336343,0
105231,-1631893492,-1968338516,289825680,0
105231,-167160687,-875622338,-337985408,0
105231,970078423,-1180424331,-336144751,0
105231,-416209587,201419919,853121366,0
105231,1200802510,-1778746925,-1178043308,0
105231,-618225471,412967111,1942691961,0
105231,-653013178,-1412137106,-1330526402,0
105231,1703742821,2017164507,-954667924,0
105231,1489797577,-203670116,1824092814,0
105231,1423277915,175460607,1403094426,0
105231,478781564,-1903105168,-302595990,0
105231,-462632761,1289162273,505738656,0
105231,-1057978252,885633960,223686155,0
105231,-1836132383,1225717399,-1280675704,0
105231,2079331030,-460763773,-712070072,0
105231,2051875357,-1552842330,1033181013,0
105231,834578657,-2132042085,-2051723494,0
105231,1297428937,248541842,705181052,0
105231,-1022122268,1777294876,2138897875,0
105231,213460984,281960358,-43401080,0
105231,1363085372,1302727530,22600423,0
105231,1422707854,-1264328037,-755829271,0
105231,749975387,-101064813,1613884007,0
105231,-1280019148,477933915,-673991868,0
105231,1982770155,-8730695,128127668,0
105231,-1576490802,2019994501,571165403,0
105231,1223657558,1804206696,-1679282202,0
105231,-1377288968,796846703,556992321,0
105231,-1959065450,1044030429,203166535,0
105231,831142203,-120522927,2139609237,0
105231,1961898048,-469320124,-1860356065,0
105231,1080524622,571084176,-365492452,0
105231,1288465420,-1800752043,416583646,0
105231,1316176506,-262000501,-1798059503,0
105231,-1736231889,-954963110,1779860979,0
105231,1122401075,1974578259,831230957,0
105231,-522056876,-930794744,1965360882,0
105231,-1221302472,-1030307950,1203874693,0
105231,-1567701913,-1397127399,-1802632074,0
105231,1374652707,-524493577,-1639101009,0
105231,-951156636,242232155,-231367541,0
105231,399845719,857696608,-453989073,0
105231,1048179772,-182891321,-1516394106,0
105231,-280307167,-1992070745,-1127205316,0
105231,-294071359,-1814726357,-1103366166,0
105231,-1206499753,986688189,750144927,0
105231,1450416249,1707522312,583328713,0
105231,-492162773,197870910,-1689223132,0
105231,-1615403018,816707197,-2113359988,0
105231,-1034398124,1443911636,1079565478,0
105231,221714431,2064605495,584542586,0
105231,701659408,-1824883439,1431383438,0
105231,1334000408,362173399,1349445025,0
105231,-277570648,-450602672,-267529073,0
105231,1514007523,847178186,828995446,0
105231,1454599295,-251658126,-1115206951,0
105231,542961252,1196601787,569698271,0
105231,1606465106,1822919206,1104304020,0
105231,398995196,2022743062,213820716,0
105231,1629485556,1684972820,-1804971921,0
105231,-1067753038,375659250,1653425530,0
105231,-1789917004,2015537783,1720134216,0
105231,-1520545067,1632079142,-790779212,0
105231,1967663605,-465723603,2092337446,0
105231,380057805,-1648048228,-1028446562,0
105231,-1447318916,1767933706,-1532488946,0
105231,286185867,1690081430,314802112,0
105231,-1795613984,-1900947970,-961067347,0
105231,785850033,612233085,-1282894958,0
105231,1322469875,-1093957764,676468541,0
