0,7,7,10,5,6,4,9,7,7,10,8,12,11,9,9,10,9,6,13,10,11,11,13,13,13,11,13,14,10
7,0,6,6,5,10,9,4,12,6,5,9,17,7,10,10,11,11,11,16,15,13,12,9,9,12,15,14,10,15
7,6,0,6,9,11,9,7,12,10,8,6,15,9,13,13,8,14,11,12,14,9,9,11,12,10,12,11,12,15
10,6,6,0,9,14,13,6,16,10,7,11,21,9,14,14,13,14,15,17,18,14,11,11,11,14,17,15,11,19
5,5,9,9,0,8,7,7,10,2,7,10,14,9,7,9,12,5,9,15,12,14,13,11,11,15,14,15,12,13
6,10,11,14,8,0,3,12,6,10,13,11,12,14,10,5,13,9,7,14,7,14,14,16,16,18,12,15,17,8
4,9,9,13,7,3,0,11,3,9,12,7,9,13,11,8,9,11,3,10,6,10,10,15,15,14,9,12,15,7
9,4,7,6,7,12,11,0,17,6,2,15,21,5,10,14,14,9,16,22,19,19,14,7,7,14,20,20,11,20
7,12,12,16,10,6,3,17,0,10,13,8,10,14,12,8,10,11,4,11,6,11,11,16,16,15,10,12,16,7
7,6,10,10,2,10,9,6,10,0,5,11,17,9,5,10,13,6,11,17,14,14,14,11,11,16,16,15,12,15
10,5,8,7,7,13,12,2,13,5,0,11,19,6,9,13,13,8,14,17,17,14,14,8,9,14,17,15,10,18
8,9,6,11,10,11,7,15,8,11,11,0,14,15,21,18,10,22,14,7,16,4,7,17,17,15,8,5,21,17
12,17,15,21,14,12,9,21,10,17,19,14,0,18,16,15,9,16,8,10,10,10,10,20,21,14,9,12,20,11
11,7,9,9,9,14,13,5,14,9,6,15,18,0,13,14,12,10,15,18,18,15,13,5,5,13,18,17,9,19
9,10,13,14,7,10,11,10,12,5,9,21,16,13,0,10,16,3,11,18,14,17,17,12,13,19,16,19,15,15
9,10,13,14,9,5,8,14,8,10,13,18,15,14,10,0,17,8,12,19,11,18,18,16,16,21,18,20,17,11
10,11,8,13,12,13,9,14,10,13,13,10,9,12,16,17,0,19,13,12,15,9,7,14,14,6,12,11,12,16
9,11,14,14,5,9,11,9,11,6,8,22,16,10,3,8,19,0,13,19,16,19,19,12,12,21,18,20,17,16
6,11,11,15,9,7,3,16,4,11,14,14,8,15,11,12,13,13,0,12,7,11,12,19,19,16,10,13,19,8
13,16,12,17,15,14,10,22,11,17,17,7,10,18,18,19,12,19,12,0,14,5,10,21,21,15,5,7,20,17
10,15,14,18,12,7,6,19,6,14,17,16,10,18,14,11,15,16,7,14,0,13,14,20,20,18,12,15,20,2
11,13,9,14,14,14,10,19,11,14,14,4,10,15,17,18,9,19,11,5,13,0,6,17,17,12,6,4,17,14
11,12,9,11,13,14,10,14,11,14,14,7,10,13,17,18,7,19,12,10,14,6,0,15,16,9,11,6,14,14
13,9,11,11,11,16,15,7,16,11,8,17,20,5,12,16,14,12,19,21,20,17,15,0,0,10,20,19,5,21
13,9,12,11,11,16,15,7,16,11,9,17,21,5,13,16,14,12,19,21,20,17,16,0,0,13,21,19,8,21
13,12,10,14,15,18,14,14,15,16,14,15,14,13,19,21,6,21,16,15,18,12,9,10,13,0,15,13,7,18
11,15,12,17,14,12,9,20,10,16,17,8,9,18,16,18,12,18,10,5,12,6,11,20,21,15,0,6,22,14
13,14,11,15,15,15,12,20,12,15,15,5,12,17,19,20,11,20,13,7,15,4,6,19,19,13,6,0,21,16
14,10,12,11,12,17,15,11,16,12,10,21,20,9,15,17,12,17,19,20,20,17,14,5,8,7,22,21,0,21
10,15,15,19,13,8,7,20,7,15,18,17,11,19,15,11,16,16,8,17,2,14,14,21,21,18,14,16,21,0
