0,1764,1682,2872,1555,1619,1000,2278,1546,2202,2717,2203,2915,3053,2713,2684,2905,3092,1968,3294,2746,3110,3123,4043,4168,3423,3022,3556,4200,2717
1764,0,1428,1702,1241,2783,2742,908,3288,1444,1347,2654,4657,1883,2457,2742,3356,2818,3710,3990,4488,3561,3574,2873,2998,3169,3822,4007,3030,4459
1682,1428,0,1510,2593,2628,2739,1770,3285,2796,2209,1696,4129,2545,3823,3361,2398,4202,3509,3032,4287,2603,2616,3535,3660,2509,3472,3049,3692,4258
2872,1702,1510,0,2224,3533,3492,1401,4271,2427,1840,2687,5640,2176,3440,3725,3389,4027,4460,4023,5471,3594,2903,3166,3291,3202,4463,4040,3323,5442
1555,1241,2593,2224,0,2264,2223,1708,2769,652,1952,2979,4138,2483,1600,2498,3681,1577,3191,4517,3969,3886,3899,3473,3598,4259,4508,4332,3630,3940
1619,2783,2628,3533,2264,0,914,3206,1266,2790,3645,3237,3199,3981,2395,1393,3939,2512,2252,3578,1862,4144,4157,4971,5096,5434,3569,4590,5128,2005
1000,2742,2739,3492,2223,914,0,2984,546,2908,3423,2323,2285,3759,3419,2133,3025,3798,1338,2664,1786,3230,3243,4749,4874,4520,2819,3676,4906,1929
2278,908,1770,1401,1708,3206,2984,0,5042,1779,463,4909,6411,1347,2853,4037,3855,2650,5464,6245,6242,5816,4073,1802,1936,3873,6122,6262,3136,6213
1546,3288,3285,4271,2769,1266,546,5042,0,3117,3632,2532,2494,3968,3628,2028,3234,3147,1547,2873,1681,3439,3452,4958,5083,4729,3028,3885,5115,1824
2202,1444,2796,2427,652,2790,2908,1779,3117,0,1448,3281,4783,2658,1194,2378,3983,1567,3836,4617,4614,4188,4201,3212,3773,4434,4494,4634,3805,4585
2717,1347,2209,1840,1952,3645,3423,463,3632,1448,0,3347,5550,1640,2495,3635,4049,2292,4603,4683,5381,4254,4267,2095,2229,3862,5123,4700,3233,5352
2203,2654,1696,2687,2979,3237,2323,4909,2532,3281,3347,0,3617,4333,6811,4736,3018,7190,4163,1915,4955,1005,1938,5323,5448,4314,2340,1448,6598,4926
2915,4657,4129,5640,4138,3199,2285,6411,2494,4783,5550,3617,0,5269,4537,3677,2693,4916,1889,2128,2681,2348,2911,6259,6384,4188,2119,3344,6273,2652
3053,1883,2545,2176,2483,3981,3759,1347,3968,2658,1640,4333,5269,0,3686,3971,3626,2688,4939,5167,5717,4590,3844,1195,1329,3644,5459,5036,2907,5688
2713,2457,3823,3440,1600,2395,3419,2853,3628,1194,2495,6811,4537,3686,0,2302,5199,521,4109,5435,4887,5404,5417,3607,3741,5234,5426,5850,4605,4858
2684,2742,3361,3725,2498,1393,2133,4037,2028,2378,3635,4736,3677,3971,2302,0,5296,1939,4349,5675,3097,5501,5514,5055,5180,5841,5666,5947,5212,3349
2905,3356,2398,3389,3681,3939,3025,3855,3234,3983,4049,3018,2693,3626,5199,5296,0,6161,4131,3013,4923,2584,1690,4292,4196,1679,3652,3030,3764,4894
3092,2818,4202,4027,1577,2512,3798,2650,3147,1567,2292,7190,4916,2688,521,1939,6161,0,4711,6037,5489,6006,6019,3556,3690,5836,6028,6452,5231,5460
1968,3710,3509,4460,3191,2252,1338,5464,1547,3836,4603,4163,1889,4939,4109,4349,4131,4711,0,3085,1942,3305,3868,5791,5916,5145,3076,4301,5948,1913
3294,3990,3032,4023,4517,3578,2664,6245,2873,4617,4683,1915,2128,5167,5435,5675,3013,6037,3085,0,4020,958,2847,6195,6320,4124,1120,1536,6209,4582
2746,4488,4287,5471,3969,1862,1786,6242,1681,4614,5381,4955,2681,5717,4887,3097,4923,5489,1942,4020,0,4021,4584,5983,6108,5861,3792,5017,6140,435
3110,3561,2603,3594,3886,4144,3230,5816,3439,4188,4254,1005,2348,4590,5404,5501,2584,6006,3305,958,4021,0,1509,5563,5688,3492,1427,1019,5577,4013
3123,3574,2616,2903,3899,4157,3243,4073,3452,4201,4267,1938,2911,3844,5417,5514,1690,6019,3868,2847,4584,1509,0,4834,4959,2607,3322,1438,4692,4564
4043,2873,3535,3166,3473,4971,4749,1802,4958,3212,2095,5323,6259,1195,3607,5055,4292,3556,5791,6195,5983,5563,4834,0,134,3224,6670,6247,1682,6899
4168,2998,3660,3291,3598,5096,4874,1936,5083,3773,2229,5448,6384,1329,3741,5180,4196,3690,5916,6320,6108,5688,4959,134,0,3889,6583,6160,2347,6812
3423,3169,2509,3202,4259,5434,4520,3873,4729,4434,3862,4314,4188,3644,5234,5841,1679,5836,5145,4124,5861,3492,2607,3224,3889,0,4565,3943,1811,5807
3022,3822,3472,4463,4508,3569,2819,6122,3028,4494,5123,2340,2119,5459,5426,5666,3652,6028,3076,1120,3792,1427,3322,6670,6583,4565,0,1703,7225,3926
3556,4007,3049,4040,4332,4590,3676,6262,3885,4634,4700,1448,3344,5036,5850,5947,3030,6452,4301,1536,5017,1019,1438,6247,6160,3943,1703,0,6483,4524
4200,3030,3692,3323,3630,5128,4906,3136,5115,3805,3233,6598,6273,2907,4605,5212,3764,5231,5948,6209,6140,5577,4692,1682,2347,1811,7225,6483,0,6642
2717,4459,4258,5442,3940,2005,1929,6213,1824,4585,5352,4926,2652,5688,4858,3349,4894,5460,1913,4582,435,4013,4564,6899,6812,5807,3926,4524,6642,0
