,type,y,x,t,size
147,car1,43.9901,74.1495,26,1
148,car1,43.9901,74.1495,27,1
149,car1,43.9901,74.1495,28,1
150,car1,43.9901,74.1495,29,1
151,car1,43.9901,74.1495,30,1
152,car1,43.9901,74.1495,31,1
153,car1,43.9901,74.1495,32,1
154,car1,43.9901,74.1495,33,1
155,car1,43.9901,74.1495,34,1
156,car1,43.9901,74.1495,35,1
157,car1,43.9901,74.1495,36,1
158,car1,43.9901,74.1495,37,1
159,car1,43.9901,74.1495,38,1
160,car1,43.9901,74.1495,39,1
161,car1,43.9901,74.1495,40,1
162,car1,43.9901,74.1495,41,1
163,car1,43.9901,74.1495,42,1
164,car1,43.9901,74.1495,43,1
165,car1,43.9901,74.1495,44,1
166,car1,43.9901,74.1495,45,1
167,car1,43.9901,74.1495,46,1
168,car1,43.9901,74.1495,47,1
169,car1,43.9902,74.1495,48,1
170,car1,43.4589,70.2242,49,1
171,car1,42.9276,66.2989,50,1
172,car1,42.3963,62.3736,51,1
173,car1,41.865,58.4483,52,1
174,car1,41.3337,54.523,53,1
175,car1,40.8024,50.5977,54,1
176,car1,40.2711,46.6724,55,1
177,car1,39.7398,42.7471,56,1
178,car1,39.2085,38.8218,57,1
179,car1,38.6772,34.8965,58,1
180,car1,38.1461,30.9715,59,1
181,car1,38.1461,30.9715,60,1
182,car1,38.1461,30.9715,61,1
183,car1,38.1461,30.9715,62,1
184,car1,38.1461,30.9715,63,1
185,car1,38.1461,30.9715,64,1
186,car1,38.1461,30.9715,65,1
187,car1,38.1461,30.9715,66,1
188,car1,38.1461,30.9715,67,1
189,car1,38.1461,30.9715,68,1
190,car1,38.1461,30.9715,69,1
191,car1,38.1461,30.9715,70,1
192,car1,38.1461,30.9715,71,1
193,car1,38.1461,30.9715,72,1
194,car1,38.1461,30.9715,73,1
195,car1,38.1461,30.9715,74,1
196,car1,38.1461,30.9715,75,1
197,car1,38.1461,30.9715,76,1
198,car1,38.1461,30.9715,77,1
199,car1,38.1461,30.9715,78,1
200,car1,38.1461,30.9715,79,1
201,car1,38.1461,30.9715,80,1
202,car1,38.1461,30.9715,81,1
203,car1,38.1461,30.9715,82,1
204,car1,38.1461,30.9715,83,1
205,car1,38.1461,30.9715,84,1
