0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,6,6,6,6,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,10,10,10,13,13,13,13,13,16,16,16,16,16,16,16,19,19,19,19,19,20,20,23,23,23,23,23,26,29,29,29,29,29,29,32,32,32,32,36,36,36,36,36,36,37,37,37,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44,44,44,44,44,44,44,45,46,51,51,51,51,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,57,57,57,57,57,57,57
3,3,6,6,6,6,10,15,27,27,33,36,36,41,43,43,43,43,43,43,43,45,45,45,45,45,45,53,53,53,53,53,53,53,53,54,63,63,63,63,63,63,63,65,65,65,65,65,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,87,87,87,87,87,96,96,96,98,98,98,98,98,98,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,102,103,104,104,104,104,104,104,104,104
0,0,0,0,5,5,5,6,6,6,6,6,6,6,6,6,9,15,15,15,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,29,29,29,29,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,59,59,59,72,72,72,72,72,72,73,73,73,73,75,75,75,75,88,88,88,88,104,104,104,104,106,106,106,134,134,136,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
0,6,6,10,10,11,20,20,20,20,20,20,20,22,22,34,34,39,39,39,39,40,40,55,55,56,56,61,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81,82,82,82,84,85,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,105,108,125,125,125,125,125,142,142,142,143,143,143,143,151,151,151,151,151,151,151,151,151,169,169,169,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187
0,0,0,0,5,12,24,24,24,24,30,31,31,31,31,31,36,36,36,41,41,41,42,62,62,63,63,63,82,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,102,102,103,105,110,110,112,117,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,123,127,127,127,127,127,127,127,127,127,149,149,150,150,150,150,150,150,150,151,151,151,151,151,151,155,178,178,204,226,226,226,226,226,226,226,226
0,0,0,0,0,7,7,14,14,14,21,21,21,21,21,21,21,21,35,48,48,48,61,61,61,61,66,66,66,66,127,127,127,127,127,127,127,127,163,199,199,199,199,235,235,235,235,235,235,235,235,235,235,270,270,270,270,272,301,301,301,301,301,301,301,301,301,301,301,301,301,301,303,303,303,303,303,303,303,303,305,305,305,307,307,307,307,307,307,307,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,336,364,364,393,393,393,393,393,393,393,393
0,7,7,7,7,15,15,15,15,15,15,15,23,31,31,31,31,31,31,31,31,31,31,31,31,31,38,66,69,70,70,70,70,70,70,70,70,71,73,73,73,73,73,74,74,74,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,77,77,77,78,80,80,80,80,81,81,82,82,82,116,117,118,119,119,154,154,157,157,157,158,158,158,158,159,159,160,160,160,160,162,163,163,163,197,198,198,198,199,233,234,234,234,234,234,234,235,236,236,236,237,271,271,271,271,271,271
9,17,26,26,26,26,41,42,42,42,42,42,43,43,43,60,60,60,61,61,63,63,63,63,63,87,110,110,110,110,110,110,110,110,110,110,110,112,112,112,112,112,112,112,112,112,112,114,114,114,152,152,152,152,152,152,152,153,153,153,191,191,191,191,191,191,191,192,192,192,230,230,230,230,230,230,230,230,230,230,230,232,232,232,232,232,232,232,232,232,232,232,232,233,271,350,350,351,351,351,351,351,351,351,352,352,352,392,392,393,393,393,393,393,393,393,393,393,393,393,393
0,0,0,9,9,32,32,32,32,32,32,51,52,52,52,52,52,52,52,52,54,54,54,54,54,54,54,81,81,81,81,81,81,81,81,81,81,81,81,83,100,100,129,129,129,130,130,130,163,163,179,196,196,196,224,241,269,269,297,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,356,356,356,356,356,374,374,376,376,376,403,403,403,403,404,404,407,408,408,408,408,408,408,408,409,409,411,411,411,411,412,412,412,412,412,412,412,412,412,412
0,0,0,0,0,10,10,20,20,42,42,42,72,72,72,73,93,93,93,93,93,93,93,143,143,143,143,145,145,145,145,145,146,146,176,176,176,176,176,176,176,178,178,178,178,178,178,229,231,232,232,264,264,264,264,266,266,315,315,315,315,315,316,317,317,318,319,320,320,320,320,320,321,321,322,322,322,322,323,325,375,375,376,376,376,378,427,427,476,476,477,478,479,479,528,529,529,529,529,529,530,530,530,580,580,580,581,582,582,582,582,582,582,582,582,582,582,582,582,582,582
