-3.0,0.0,nan
-3.0,0.1,nan
-3.0,0.2,nan
-3.0,0.3,nan
-3.0,0.4,nan
-3.0,0.5,nan
-3.0,0.6,nan
-3.0,0.7,nan
-3.0,0.8,nan
-3.0,0.9,nan
-3.0,1.0,0.0
-3.0,1.1,0.0
-3.0,1.2,0.0
-3.0,1.3,0.0
-3.0,1.4,0.0
-3.0,1.5,6.896551724137931
-3.0,1.6,6.666666666666667
-3.0,1.7,33.333333333333336
-3.0,1.8,21.11111111111111
-3.0,1.9,18.0
-3.0,2.0,25.925925925925927
-2.9,0.0,nan
-2.9,0.1,nan
-2.9,0.2,nan
-2.9,0.3,nan
-2.9,0.4,nan
-2.9,0.5,nan
-2.9,0.6,nan
-2.9,0.7,nan
-2.9,0.8,nan
-2.9,0.9,nan
-2.9,1.0,0.0
-2.9,1.1,0.0
-2.9,1.2,0.0
-2.9,1.3,0.0
-2.9,1.4,0.0
-2.9,1.5,14.893617021276595
-2.9,1.6,10.0
-2.9,1.7,22.78481012658228
-2.9,1.8,27.272727272727273
-2.9,1.9,38.62068965517241
-2.9,2.0,35.11904761904762
-2.8,0.0,nan
-2.8,0.1,nan
-2.8,0.2,nan
-2.8,0.3,nan
-2.8,0.4,nan
-2.8,0.5,nan
-2.8,0.6,nan
-2.8,0.7,nan
-2.8,0.8,nan
-2.8,0.9,nan
-2.8,1.0,nan
-2.8,1.1,nan
-2.8,1.2,0.0
-2.8,1.3,0.0
-2.8,1.4,14.285714285714286
-2.8,1.5,10.638297872340425
-2.8,1.6,10.344827586206897
-2.8,1.7,22.5
-2.8,1.8,22.22222222222222
-2.8,1.9,28.333333333333332
-2.8,2.0,41.040462427745666
-2.7,0.0,nan
-2.7,0.1,nan
-2.7,0.2,nan
-2.7,0.3,nan
-2.7,0.4,nan
-2.7,0.5,nan
-2.7,0.6,nan
-2.7,0.7,nan
-2.7,0.8,0.0
-2.7,0.9,nan
-2.7,1.0,0.0
-2.7,1.1,0.0
-2.7,1.2,0.0
-2.7,1.3,7.6923076923076925
-2.7,1.4,3.7037037037037037
-2.7,1.5,10.869565217391305
-2.7,1.6,10.0
-2.7,1.7,20.192307692307693
-2.7,1.8,35.294117647058826
-2.7,1.9,30.76923076923077
-2.7,2.0,31.35135135135135
-2.6,0.0,nan
-2.6,0.1,nan
-2.6,0.2,nan
-2.6,0.3,nan
-2.6,0.4,nan
-2.6,0.5,nan
-2.6,0.6,nan
-2.6,0.7,nan
-2.6,0.8,nan
-2.6,0.9,0.0
-2.6,1.0,0.0
-2.6,1.1,0.0
-2.6,1.2,0.0
-2.6,1.3,10.714285714285714
-2.6,1.4,11.11111111111111
-2.6,1.5,13.235294117647058
-2.6,1.6,14.925373134328359
-2.6,1.7,26.495726495726494
-2.6,1.8,30.508474576271187
-2.6,1.9,37.5
-2.6,2.0,42.20183486238532
-2.5,0.0,nan
-2.5,0.1,nan
-2.5,0.2,nan
-2.5,0.3,nan
-2.5,0.4,nan
-2.5,0.5,nan
