demands,rsf,rse,success,time_over
29,3,20,8,4
29,3,20,8,5
29,3,20,8,7
29,3,20,8,7
29,3,20,8,9
29,3,20,8,9
demands,rsf,rse,success,time_over
25,0,0,0,0
25,0,0,0,0
25,0,0,0,0
25,0,0,0,0
25,0,0,0,0
25,0,0,0,0
25,0,0,0,0
25,0,0,0,0
25,0,0,0,0
25,0,0,0,0
25,0,0,0,0
25,0,0,0,0
25,0,0,1,0
25,0,2,2,0
25,0,2,2,0
25,0,4,5,0
25,0,10,5,0
25,0,14,5,0
25,0,16,7,0
25,2,19,7,0
25,2,20,7,0
25,3,20,7,0
25,3,20,7,0
25,3,20,7,1
25,3,20,8,3
25,3,20,8,4
25,3,20,8,5
25,3,20,8,5
25,3,20,8,5
25,3,20,8,5
25,3,20,8,5
demands,rsf,rse,success,time_over
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
23,0,0,1,0
23,0,2,2,0
23,0,2,2,0
23,0,4,5,0
23,0,10,5,0
23,0,14,5,0
23,0,16,7,0
23,2,19,7,0
23,2,20,7,0
23,3,20,7,0
23,3,20,7,0
23,3,20,7,1
23,3,20,8,3
23,3,20,8,3
23,3,20,8,3
23,3,20,8,3
23,3,20,8,3
23,3,20,8,3
23,3,20,8,3
demands,rsf,rse,success,time_over
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,1,0
20,0,2,2,0
20,0,2,2,0
20,0,4,5,0
20,0,10,5,0
20,0,14,5,0
20,0,16,7,0
20,2,19,7,0
20,2,20,7,0
20,3,20,7,0
20,3,20,7,0
20,3,20,7,1
20,3,20,7,1
20,3,20,7,1
20,3,20,7,1
20,3,20,7,1
20,3,20,7,1
20,3,20,7,1
20,3,20,7,1
demands,rsf,rse,success,time_over
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,1,0
20,0,1,3,0
20,0,1,3,0
20,1,2,3,0
20,2,4,4,0
20,2,5,5,0
20,4,6,5,0
20,4,9,6,0
20,4,10,6,0
20,5,11,6,0
20,5,11,6,0
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
demands,rsf,rse,success,time_over
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,1,0
20,0,1,3,0
20,0,1,3,0
20,1,2,3,0
20,2,4,4,0
20,2,5,5,0
20,4,6,5,0
20,4,9,6,0
20,4,10,6,0
20,5,11,6,0
20,5,11,6,0
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
demands,rsf,rse,success,time_over
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,1,0
20,0,1,3,0
20,0,1,3,0
20,1,2,3,0
20,2,4,4,0
20,2,5,5,0
20,4,6,5,0
20,4,9,6,0
20,4,10,6,0
20,5,11,6,0
20,5,11,6,0
20,5,11,6,1
20,5,11,6,1
