1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-4,-4,-4,1,2,3,5,5,4,6,3,4,3,8,2,18,18,170,480,1050,7821,7821,11466,41407,41409,152971,251732,580924,762702,1135375,3549778,3549779,5187925,5181155,5180703,4092945,3899834,1648579,1648580,1648580,1648579,1,-383552,-576662
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,1,752,19388,19384,19384,22730,22727,25318,25317,5928,5928,3110131,3110130,7998441,7998438,7993260,15626088,24418161,24418161,21316554,16427491,16427492,16427492,16427494,13325882,13325882
0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,4,2,2,9,7,5,5,3,3,6,5,5,2,0,-3,-4,22,25,85,516,515,19904,19903,19904,1,107676,107592,109752,109348,579922,470575,4012039,4012013,9710090,11070531,11070532,11067940,10706717,10706717,10706718,18213768,15142477,7507050,-128371,-486991
1,-2,-2,-1,-1,6,6,5,4,3,4,4,4,5,5,4,4,3,3,8,8,10,10,8,7,7,2,-1,12,7,7,7,7,54,75,414,1262,4143,4142,24556,35440,63756,76722,154093,154096,480481,2693970,2693968,4462151,4408786,4408785,4366304,4366304,1921939,1691061,-1,-2171005,-2171002,-2171000,-4342009,-4342006
0,0,0,0,0,0,0,0,0,0,1,-3,2,1,3,5,6,3,3,3,4,9,11,10,11,13,17,12,10,2,0,-1,-1,31,60,345,1138,5318,25215,31984,35711,40917,83370,42482,475859,474754,474499,470173,2256805,7956083,7956016,7954487,7934006,7515824,7515826,7515828,7512256,7507049,1,-7507048,-7507046
1,-1,-2,-3,-5,0,0,0,0,0,0,0,-2,0,-7,-8,8,7,5,5,5,3,1,0,0,1,1,1,0,1,-7,15,18,45,43,566,902,891,859,861,7781,7779,6928,6929,6913,6062,6063,6063,6064,1,1,5266561,5266562,5266554,5266530,5266531,5266530,1,4,-5204,-5202
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,-1,4,2,36,69,411,410,411,1269,21416,31446,36651,79133,81731,81729,500450,1242215,6514771,6514422,6514073,6514041,6513758,6433514,11664056,11664056,5260502,5260502,5260504,5260502,4876946,-12116
1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,6,2,1,0,0,0,0,0,-4,-4,5,35,65,466,1744,2841,9416,9418,9417,71004,73595,75125,322104,737286,737286,3838897,6839686,6839684,14410931,14410897,14410897,14410868,13805725,13805725,13805324,7635422,1466797,1466800,2
1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,3,2,3,6,5,5,5,5,5,-1,-2,3,4,0,-2,-2,6,2,-1,283,309,2779,2779,2776,6437,9702,9701,7233,333951,333950,333639,333634,326719,326719,326719,0,0,1,0,-326722,-326722,-333643,-336988,-336987,-339143,-339142
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2980,3732,6577,6576,9171,9172,73347,266458,259879,259879,259878,257284,253553,249823,0,1,2,1,1,1,0,1,2,2,-56714
