demands,rdf,rde,success,time_over
1532,7,16,7,0
1532,19,37,9,0
1532,30,70,9,0
1532,38,105,11,0
1532,47,141,-1,0
1532,53,165,-1,0
1532,60,180,1,0
1532,73,205,2,0
1532,87,233,3,0
1532,101,260,3,0
1532,108,268,8,0
1532,121,301,3,0
1532,129,320,2,0
1532,150,333,-1,0
1532,173,350,-7,0
1532,196,381,-22,0
1532,213,395,-21,0
1532,229,412,-21,0
1532,261,417,-33,0
1532,274,433,-32,0
1532,300,439,-40,0
1532,317,447,-40,0
1532,332,451,-33,0
1532,349,459,-30,0
1532,366,465,-32,0
1532,379,475,-37,0
1532,398,482,-30,0
1532,407,492,-34,0
1532,412,500,-28,0
1532,422,510,-28,0
1532,443,560,-60,0
1532,504,592,-114,0
1532,683,599,-278,0
1532,1212,609,-882,0
1532,3907,614,-3549,0
1532,14013,614,-13634,0
1532,67746,614,-67340,1
1532,97932,614,-97504,2
1532,152668,614,-152223,3
1532,223720,614,-223258,5
1532,432921,614,-432437,7
1532,711803,614,-711305,10
1532,1417809,614,-1417291,17
1532,2435629,614,-2435083,25
1532,4251462,614,-4250899,30
1532,10694903,614,-10694321,39
1532,25525145,614,-25524549,48
1532,37192306,614,-37191699,58
1532,51178142,614,-51177528,72
1532,60280367,614,-60279745,80
1532,73188407,614,-73187778,99
1532,81980480,614,-81979848,120
1532,87240982,614,-87240348,135
1532,87240982,615,-87240347,160
1532,87240982,615,-87240346,175
1532,94748032,615,-94747394,197
1532,94748032,615,-94747394,217
1532,94748032,615,-94747394,239
1532,94748032,615,-94747394,265
1532,94748032,615,-94747394,289
1532,94748032,615,-94747394,289
