demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
68,0,0,1,0,0,0,0
68,0,0,3,0,0,0,0
68,0,0,4,0,0,0,0
68,1,1,4,0,0,0,0
68,1,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,4,0,0,0,0
68,2,1,5,0,0,0,0
68,2,1,6,0,0,0,0
68,3,1,7,0,0,0,0
68,3,2,8,0,0,0,0
68,5,2,8,0,0,0,0
68,5,2,8,0,0,0,0
68,5,2,8,0,0,0,0
68,5,2,8,0,0,0,0
68,5,2,8,0,0,0,0
68,5,2,8,0,0,0,0
68,5,2,8,0,0,0,0
68,5,2,8,0,0,0,0
68,5,2,8,0,0,0,0
68,5,2,9,0,0,0,0
68,5,2,9,0,0,0,0
68,5,2,10,0,0,0,0
68,5,2,11,0,0,0,0
68,5,2,12,0,0,0,0
68,6,2,13,0,0,0,0
68,6,2,13,0,0,0,0
68,6,2,13,0,0,0,0
68,6,2,13,0,0,0,0
68,6,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,13,0,0,0,0
68,7,2,15,0,0,0,0
68,7,2,15,0,0,0,0
68,8,2,15,0,0,0,0
68,8,2,15,0,0,0,0
68,8,2,16,0,0,0,0
68,8,2,16,0,0,0,0
68,8,2,17,0,0,0,0
68,8,2,17,0,0,0,0
68,8,2,17,0,0,0,0
68,8,2,18,0,0,0,0
68,8,2,18,0,0,0,0
68,8,2,18,0,0,0,0
68,8,2,18,0,0,0,0
68,8,2,18,0,0,0,0
68,8,2,18,0,0,0,0
68,8,2,19,0,0,0,0
68,8,2,19,0,0,0,0
68,8,2,19,0,0,0,0
68,8,2,20,0,0,0,0
68,8,2,20,0,0,0,0
68,8,2,20,0,0,0,0
68,8,2,20,0,0,0,0
68,8,2,20,0,0,0,0
68,8,2,21,0,0,0,0
68,8,2,21,0,0,0,0
68,8,2,21,0,0,0,0
68,8,2,21,0,0,0,0
68,8,3,22,0,0,0,0
68,8,3,22,0,0,0,0
68,8,3,22,0,0,0,0
68,8,3,23,0,0,0,0
68,8,3,23,0,0,0,0
68,8,4,24,0,0,0,0
68,8,4,24,0,0,0,0
68,8,4,24,0,0,0,0
68,8,4,24,0,0,0,0
68,8,4,24,0,0,0,0
68,8,4,24,0,0,0,0
68,8,4,24,0,0,0,0
68,8,4,24,0,0,0,0
68,8,4,25,0,0,0,0
68,9,5,26,0,0,0,0
68,9,5,26,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,27,0,0,0,0
68,9,5,28,0,0,0,0
68,10,5,28,0,0,0,0
68,10,5,29,0,0,0,0
68,10,5,30,0,0,0,0
68,10,5,30,0,0,0,0
68,10,5,31,0,0,0,0
68,10,5,31,0,0,0,0
68,10,5,31,0,0,0,0
68,10,5,31,0,0,0,0
68,10,5,32,0,0,0,0
68,10,5,32,0,0,0,0
68,11,5,33,0,0,0,0
68,11,5,33,0,0,0,0
68,11,5,35,0,0,0,0
68,11,5,35,0,0,0,0
68,11,5,35,0,0,0,0
68,11,5,35,0,0,0,0
68,11,5,35,0,0,0,0
68,11,5,36,0,0,0,0
68,11,6,36,0,0,0,0
68,11,6,36,0,0,0,0
68,12,6,36,0,0,0,0
68,12,7,36,0,0,0,0
68,12,7,36,0,0,0,0
