i,j,t_start,t_goal,current,mode
9,8,77,85,77,demand
8,2,79,82,79,demand
4,8,85,92,85,demand
3,4,86,90,86,user
4,3,98,102,98,demand
3,4,99,103,99,user
0,3,99,100,99,demand
6,0,107,115,107,demand
2,5,108,116,108,demand
7,9,116,120,116,user
5,7,116,121,116,demand
1,3,120,127,120,demand
7,3,130,135,130,demand
3,7,131,136,131,demand
3,6,132,138,132,demand
1,9,134,141,134,demand
4,3,135,139,135,demand
3,4,137,141,137,user
2,1,137,144,137,demand
3,2,138,141,138,user
7,4,141,148,141,demand
0,2,143,147,143,demand
6,1,145,148,145,demand
7,3,146,151,146,demand
5,6,152,153,152,demand
8,0,153,156,153,demand
1,5,154,157,154,user
8,5,159,168,159,demand
1,3,162,169,162,demand
4,3,163,167,163,demand
8,1,173,179,173,demand
2,8,191,194,191,demand
5,7,194,199,194,demand
2,3,203,206,203,demand
5,1,203,206,203,demand
9,2,209,216,209,demand
0,2,211,215,211,demand
3,0,216,217,216,user
1,8,216,222,216,demand
8,3,216,218,216,demand
6,9,221,227,221,demand
1,7,222,231,222,demand
3,8,232,234,232,demand
i,j,t_start,t_goal,current,mode
4,8,0,7,0,demand
8,1,2,8,2,demand
9,7,3,7,3,demand
3,4,5,9,5,user
0,4,5,10,5,demand
4,3,9,13,9,demand
9,8,9,17,9,demand
5,9,10,14,10,user
3,5,17,23,17,demand
8,4,20,27,20,demand
1,5,21,24,21,user
8,1,21,27,21,demand
0,8,28,31,28,demand
8,9,28,36,28,demand
1,6,36,39,36,user
2,1,36,43,36,demand
1,2,37,44,37,user
3,1,37,44,37,demand
5,0,46,53,46,demand
3,9,46,51,46,demand
6,5,47,48,47,demand
1,6,48,51,48,user
4,1,48,58,48,demand
1,3,49,56,49,demand
9,1,50,57,50,demand
5,1,51,54,51,user
3,5,51,57,51,demand
4,0,56,61,56,demand
3,4,57,61,57,user
2,0,66,70,66,demand
3,2,67,70,67,user
1,8,68,74,68,demand
