0.003,72,2,0,70,0,0,0,0
0.003,74,2,0,72,0,0,0,0
0.003,63,0,1,62,0,0,0,0
0.003,70,1,1,68,0,0,0,0
0.003,72,1,0,71,0,0,0,0
0.003,75,2,0,73,0,0,0,0
0.003,62,4,0,58,0,0,0,0
0.003,70,1,0,69,0,0,0,0
0.003,63,3,1,60,0,0,0,0
0.003,56,2,0,54,0,0,0,0
0.003,52,3,2,45,2,0,0,0
0.003,57,3,3,51,0,0,0,0
0.003,83,7,6,71,0,0,0,0
0.003,68,5,3,59,2,0,0,0
0.003,63,7,0,55,1,0,0,0
0.003,69,6,1,61,1,0,0,0
0.003,71,4,1,64,2,0,0,0
0.003,63,3,0,59,1,0,0,0
0.003,73,2,1,67,3,0,0,0
0.003,81,4,5,69,3,0,0,0
0.003,70,4,2,61,4,0,0,0
0.003,91,5,1,83,2,0,0,0
0.003,64,5,2,57,1,0,0,0
0.003,71,2,2,66,1,0,0,0
0.003,84,8,5,71,0,0,0,0
0.003,54,6,0,46,2,0,0,0
0.003,64,2,1,59,2,0,0,0
0.003,82,5,2,73,4,0,0,0
0.003,63,1,7,54,1,0,0,0
0.003,79,4,7,66,2,0,0,0
0.003,69,1,0,68,0,0,0,0
0.003,60,0,0,60,0,0,0,0
0.003,73,2,0,71,0,0,0,0
0.003,74,2,0,72,0,0,0,0
0.003,71,1,0,70,0,0,0,0
0.003,62,0,0,62,0,0,0,0
0.003,69,2,1,66,0,0,0,0
0.003,72,2,0,70,0,0,0,0
0.003,72,2,0,70,0,0,0,0
0.003,59,1,1,58,0,0,0,0
