i,j,t_start,t_goal,current,mode
8,1,4,10,4,demand
1,0,6,14,6,rsf-avail
5,1,6,14,6,demand
2,6,10,25,10,demand
2,9,16,25,16,demand
9,2,20,29,20,rsf-avail
4,9,20,31,20,demand
1,4,21,26,21,rse-release
9,4,33,44,33,demand
2,8,36,45,36,demand
4,7,38,49,38,demand
7,1,43,54,43,rsf-avail
9,7,43,51,43,demand
8,9,44,46,44,rse-release
4,5,53,65,53,demand
1,4,54,59,54,rse-release
2,5,54,63,54,demand
7,1,57,68,57,rsf-avail
5,7,57,66,57,demand
7,5,59,68,59,demand
1,2,70,79,70,rsf-avail
0,3,70,78,70,demand
9,1,70,77,70,demand
8,9,71,73,71,rse-release
6,9,73,82,73,demand
5,0,75,81,75,rsf-avail
7,5,75,84,75,demand
2,7,76,79,76,rse-release
3,2,80,90,80,rsf-avail
0,8,80,88,80,demand
8,3,80,83,80,demand
5,2,81,90,81,demand
9,7,83,91,83,demand
0,2,87,90,87,demand
2,0,88,91,88,rse-release
1,5,88,96,88,demand
1,6,92,101,92,demand
1,4,106,111,106,demand
3,1,107,111,107,rse-release
6,0,114,127,114,rsf-avail
0,6,114,127,114,demand
9,2,120,129,120,demand
8,9,121,123,121,rse-release
5,0,127,133,127,rsf-avail
3,5,127,134,127,demand
8,3,128,131,128,rse-release
6,3,129,139,129,demand
0,1,131,139,131,rsf-avail
5,0,131,137,131,demand
7,8,133,144,133,demand
9,8,147,149,147,demand
8,9,148,150,148,rse-release
2,8,149,158,149,demand
5,1,151,159,151,demand
4,2,154,163,154,rsf-avail
7,4,154,165,154,demand
2,7,155,158,155,rse-release
1,5,162,170,162,demand
4,5,164,176,164,demand
8,6,169,176,169,demand
5,1,170,178,170,rsf-avail
4,5,170,182,170,demand
1,4,171,176,171,rse-release
8,4,174,184,174,demand
4,9,176,187,176,demand
3,4,181,190,181,demand
4,2,187,196,187,rsf-avail
3,1,187,191,187,demand
2,4,187,196,187,demand
8,3,188,191,188,rse-release
5,8,189,197,189,rsf-rse
6,5,189,203,189,demand
7,6,197,210,197,demand
2,7,198,201,198,rse-release
2,8,198,207,198,demand
9,2,201,210,201,rsf-avail
3,9,201,206,201,demand
0,2,206,209,206,rsf-avail
7,0,206,211,206,demand
2,7,207,210,207,rse-release
8,7,207,218,207,demand
5,2,220,229,220,rsf-avail
2,5,220,229,220,demand
4,2,221,230,221,rsf-avail
7,4,221,232,221,demand
0,8,224,232,224,demand
5,0,225,231,225,rsf-avail
8,5,225,233,225,demand
1,2,227,236,227,rsf-avail
4,2,227,236,227,demand
5,1,227,235,227,demand
8,5,232,240,232,demand
1,3,234,238,234,rsf-avail
