10,-1.5,1.0,74,0
10,-1.5,1.2,187,13
10,-1.5,1.4,357,25
10,-1.5,1.6,470,68
10,-1.5,1.8,704,111
10,-1.5,2.0,916,221
10,-1.0,0.0,0,0
10,-1.0,0.2,0,0
10,-1.0,0.4,0,0
10,-1.0,0.6,22,0
10,-1.0,0.8,132,1
10,-1.0,1.0,259,9
10,-1.0,1.2,444,35
10,-1.0,1.4,718,125
10,-1.0,1.6,922,217
10,-1.0,1.8,1124,321
10,-1.0,2.0,1350,463
10,-0.5,0.0,0,0
10,-0.5,0.2,0,0
10,-0.5,0.4,27,0
10,-0.5,0.6,175,4
10,-0.5,0.8,393,46
10,-0.5,1.0,627,86
10,-0.5,1.2,935,158
10,-0.5,1.4,1167,334
10,-0.5,1.6,1484,552
10,-0.5,1.8,1773,751
10,-0.5,2.0,2184,1133
10,0.0,0.0,0,0
10,0.0,0.2,17,0
10,0.0,0.4,380,18
10,0.0,0.6,733,82
10,0.0,0.8,1068,229
10,0.0,1.0,1375,415
10,0.0,1.2,1640,645
10,0.0,1.4,2001,942
10,0.0,1.6,2315,1228
10,0.0,1.8,2598,1462
10,0.0,2.0,2748,1612
10,0.5,0.0,0,0
10,0.5,0.2,1798,700
10,0.5,0.4,1830,726
10,0.5,0.6,1974,881
10,0.5,0.8,2194,1087
10,0.5,1.0,2452,1316
10,0.5,1.2,2748,1589
10,0.5,1.4,2904,1712
10,0.5,1.6,3261,2074
10,0.5,1.8,3662,2474
10,0.5,2.0,3913,2702
10,1.0,0.0,3600,2514
10,1.0,0.2,3594,2490
10,1.0,0.4,3617,2414
10,1.0,0.6,3629,2435
10,1.0,0.8,3659,2447
10,1.0,1.0,3880,2666
10,1.0,1.2,4106,2875
10,1.0,1.4,4292,3040
10,1.0,1.6,4517,3240
10,1.0,1.8,4824,3567
10,1.0,2.0,4977,3722
10,1.5,0.0,7200,5945
10,1.5,0.2,5391,4132
10,1.5,0.4,5360,4109
10,1.5,0.6,5415,4111
10,1.5,0.8,5350,4080
10,1.5,1.0,5433,4145
10,1.5,1.2,5620,4312
10,1.5,1.4,5688,4393
10,1.5,1.6,5845,4567
10,1.5,1.8,6016,4675
10,1.5,2.0,6349,5030
10,2.0,0.0,7200,5945
10,2.0,0.2,7203,5933
10,2.0,0.4,7215,5860
10,2.0,0.6,7145,5779
10,2.0,0.8,7236,5886
10,2.0,1.0,7206,5851
10,2.0,1.2,7288,5880
10,2.0,1.4,7340,5945
10,2.0,1.6,7555,6191
10,2.0,1.8,7605,6208
10,2.0,2.0,7729,6294
10,2.5,0.0,7200,5945
10,2.5,0.2,8979,7580
10,2.5,0.4,9018,7608
10,2.5,0.6,9013,7585
10,2.5,0.8,8999,7588
10,2.5,1.0,8948,7514
10,2.5,1.2,9033,7623
10,2.5,1.4,9082,7627
10,2.5,1.6,9224,7792
10,2.5,1.8,9311,7863
10,2.5,2.0,9477,8034
10,3.0,0.0,10800,9384
10,3.0,0.2,10793,9378
10,3.0,0.4,10820,9362
10,3.0,0.6,10789,9307
10,3.0,0.8,10796,9271
10,3.0,1.0,10922,9410
10,3.0,1.2,10799,9286
10,3.0,1.4,10999,9475
10,3.0,1.6,10718,9269
10,3.0,1.8,11012,9521
10,3.0,2.0,10998,9447
20,-3.0,0.0,0,0
20,-3.0,0.2,0,0
20,-3.0,0.4,0,0
20,-3.0,0.6,0,0
20,-3.0,0.8,0,0
20,-3.0,1.0,2,0
20,-3.0,1.2,4,0
20,-3.0,1.4,23,0
20,-3.0,1.6,60,0
20,-3.0,1.8,116,0
20,-3.0,2.0,200,0
20,-2.5,0.0,0,0
20,-2.5,0.2,0,0
20,-2.5,0.4,0,0
20,-2.5,0.6,0,0
20,-2.5,0.8,0,0
20,-2.5,1.0,10,0
20,-2.5,1.2,16,0
20,-2.5,1.4,58,0
20,-2.5,1.6,127,0
20,-2.5,1.8,204,3
20,-2.5,2.0,346,0
20,-2.0,0.0,0,0
20,-2.0,0.2,0,0
20,-2.0,0.4,0,0
20,-2.0,0.6,0,0
20,-2.0,0.8,4,0
20,-2.0,1.0,25,0
20,-2.0,1.2,84,0
20,-2.0,1.4,156,1
20,-2.0,1.6,269,6
20,-2.0,1.8,443,20
20,-2.0,2.0,564,4
20,-1.5,0.0,0,0
20,-1.5,0.2,0,0
20,-1.5,0.4,0,0
20,-1.5,0.6,2,0
20,-1.5,0.8,29,0
20,-1.5,1.0,88,0
20,-1.5,1.2,185,6
20,-1.5,1.4,363,6
20,-1.5,1.6,495,8
20,-1.5,1.8,775,40
20,-1.5,2.0,974,88
20,-1.0,0.0,0,0
20,-1.0,0.2,0,0
20,-1.0,0.4,1,0
20,-1.0,0.6,17,0
20,-1.0,0.8,109,0
20,-1.0,1.0,255,0
20,-1.0,1.2,419,20
20,-1.0,1.4,636,47
20,-1.0,1.6,882,46
20,-1.0,1.8,1243,68
20,-1.0,2.0,1352,131
20,-0.5,0.0,0,0
20,-0.5,0.2,0,0
20,-0.5,0.4,18,0
20,-0.5,0.6,158,0
20,-0.5,0.8,393,0
20,-0.5,1.0,649,20
20,-0.5,1.2,941,27
