,type,y,x,t,size
146,car4,48.6895,47.5824,22,1
147,car4,48.6895,47.5824,23,1
148,car4,48.6895,47.5824,24,1
149,car4,48.6895,47.5824,25,1
150,car4,48.6895,47.5824,26,1
151,car4,48.6895,47.5824,27,1
152,car4,48.6895,47.5824,28,1
153,car4,48.6895,47.5824,29,1
154,car4,48.6895,47.5824,30,1
155,car5,53.0578,64.0508,0,1
156,car5,53.0578,64.0508,1,1
157,car5,53.0578,64.0508,2,1
158,car5,53.0579,64.0508,3,1
159,car5,36.1011,47.6615,4,1
160,car5,36.1011,47.6615,5,1
161,car5,36.1011,47.6615,6,1
162,car5,36.1011,47.6615,7,1
163,car5,36.1011,47.6615,8,1
164,car5,36.1012,47.6615,9,1
165,car5,48.6895,47.5824,10,1
166,car5,48.6895,47.5824,11,1
167,car5,48.6895,47.5824,12,1
168,car5,48.6895,47.5824,13,1
169,car5,48.6895,47.5824,14,1
170,car5,48.6895,47.5824,15,1
171,car5,48.6895,47.5824,16,1
172,car5,48.6895,47.5824,17,1
173,car5,48.6895,47.5824,18,1
174,car5,48.6895,47.5824,19,1
175,car5,48.6895,47.5824,20,1
176,car5,48.6895,47.5824,21,1
177,car5,48.6895,47.5824,22,1
178,car5,48.6895,47.5824,23,1
179,car5,48.6895,47.5824,24,1
180,car5,48.6895,47.5824,25,1
181,car5,48.6895,47.5824,26,1
182,car5,48.6895,47.5824,27,1
183,car5,48.6895,47.5824,28,1
184,car5,48.6895,47.5824,29,1
185,car5,48.6895,47.5824,30,1
186,car6,53.0578,64.0508,0,1
187,car6,53.0578,64.0508,1,1
188,car6,53.0578,64.0508,2,1
189,car6,53.0578,64.0508,3,1
190,car6,53.0578,64.0508,4,1
191,car6,53.0578,64.0508,5,1
192,car6,53.0578,64.0508,6,1
193,car6,53.0578,64.0508,7,1
194,car6,53.0578,64.0508,8,1
195,car6,53.0579,64.0508,9,1
196,car6,36.1011,47.6615,10,1
197,car6,36.1011,47.6615,11,1
198,car6,36.1011,47.6615,12,1
199,car6,36.1011,47.6615,13,1
200,car6,36.1012,47.6615,14,1
201,car6,47.1516,35.9492,15,1
202,car6,47.1516,35.9492,16,1
203,car6,47.1516,35.9492,17,1
204,car6,47.1516,35.9492,18,1
205,car6,47.1517,35.9492,19,1
206,car6,36.1011,47.6615,20,1
207,car6,36.1012,47.6615,21,1
208,car6,48.6895,47.5824,22,1
209,car6,48.6895,47.5824,23,1
210,car6,48.6895,47.5824,24,1
211,car6,48.6895,47.5824,25,1
212,car6,48.6895,47.5824,26,1
213,car6,48.6895,47.5824,27,1
214,car6,48.6895,47.5824,28,1
215,car6,48.6895,47.5824,29,1
216,car6,48.6895,47.5824,30,1
217,car7,53.0578,64.0508,0,1
218,car7,53.0578,64.0508,1,1
219,car7,53.0578,64.0508,2,1
220,car7,53.0578,64.0508,3,1
221,car7,53.0578,64.0508,4,1
222,car7,53.0578,64.0508,5,1
223,car7,53.0578,64.0508,6,1
224,car7,53.0578,64.0508,7,1
225,car7,53.0578,64.0508,8,1
226,car7,53.0578,64.0508,9,1
227,car7,53.0578,64.0508,10,1
228,car7,53.0578,64.0508,11,1
229,car7,53.0578,64.0508,12,1
230,car7,53.0579,64.0508,13,1
231,car7,47.1516,35.9492,14,1
232,car7,47.1516,35.9492,15,1
233,car7,47.1516,35.9492,16,1
234,car7,47.1516,35.9492,17,1
235,car7,47.1516,35.9492,18,1
236,car7,47.1516,35.9492,19,1
237,car7,47.1516,35.9492,20,1
238,car7,47.1516,35.9492,21,1
239,car7,47.1517,35.9492,22,1
240,car7,36.1011,47.6615,23,1
241,car7,36.1011,47.6615,24,1
242,car7,36.1011,47.6615,25,1
243,car7,36.1011,47.6615,26,1
244,car7,36.1011,47.6615,27,1
245,car7,36.1011,47.6615,28,1
246,car7,36.1011,47.6615,29,1
247,car7,36.1011,47.6615,30,1
248,car8,53.0578,64.0508,0,1
249,car8,53.0578,64.0508,1,1
250,car8,53.0578,64.0508,2,1
251,car8,53.0578,64.0508,3,1
252,car8,53.0578,64.0508,4,1
253,car8,53.0578,64.0508,5,1
254,car8,53.0578,64.0508,6,1
255,car8,53.0578,64.0508,7,1
256,car8,53.0578,64.0508,8,1
257,car8,53.0578,64.0508,9,1
258,car8,53.0578,64.0508,10,1
259,car8,53.0578,64.0508,11,1
260,car8,53.0578,64.0508,12,1
261,car8,53.0578,64.0508,13,1
262,car8,53.0578,64.0508,14,1
263,car8,53.0578,64.0508,15,1
264,car8,53.0578,64.0508,16,1
265,car8,53.0578,64.0508,17,1
266,car8,53.0578,64.0508,18,1
267,car8,53.0578,64.0508,19,1
268,car8,53.0578,64.0508,20,1
269,car8,53.0578,64.0508,21,1
270,car8,53.0578,64.0508,22,1
271,car8,53.0578,64.0508,23,1
272,car8,53.0578,64.0508,24,1
273,car8,53.0578,64.0508,25,1
274,car8,53.0578,64.0508,26,1
275,car8,53.0578,64.0508,27,1
276,car8,53.0578,64.0508,28,1
277,car8,53.0578,64.0508,29,1
278,car8,53.0578,64.0508,30,1
279,car9,53.0578,64.0508,0,1
280,car9,53.0578,64.0508,1,1
281,car9,53.0578,64.0508,2,1
282,car9,53.0578,64.0508,3,1
283,car9,53.0578,64.0508,4,1
284,car9,53.0578,64.0508,5,1
285,car9,53.0578,64.0508,6,1
286,car9,53.0578,64.0508,7,1
287,car9,53.0578,64.0508,8,1
288,car9,53.0578,64.0508,9,1
289,car9,53.0578,64.0508,10,1
290,car9,53.0578,64.0508,11,1
291,car9,53.0578,64.0508,12,1
292,car9,53.0578,64.0508,13,1
293,car9,53.0578,64.0508,14,1
294,car9,53.0578,64.0508,15,1
295,car9,53.0578,64.0508,16,1
296,car9,53.0578,64.0508,17,1
297,car9,53.0578,64.0508,18,1
298,car9,53.0578,64.0508,19,1
299,car9,53.0578,64.0508,20,1
300,car9,53.0578,64.0508,21,1
301,car9,53.0578,64.0508,22,1
302,car9,53.0578,64.0508,23,1
303,car9,53.0578,64.0508,24,1
304,car9,53.0578,64.0508,25,1
305,car9,53.0578,64.0508,26,1
