0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,15,16,16,16,16,16,17,17,17,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19
0,0,0,0,0,2,2,2,2,3,4,4,4,4,4,5,5,5,6,7,8,8,8,9,9,10,11,11,11,11,11,11,12,12,12,12,13,14,14,14,14,14,14,14,14,14,15,16,16,16,16,17,17,18,18,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,22,22,23,23,24,25,25,25,25,25,25,25,26,26,26,27,27,28,29,29,29,29,30,31,31,33,33,33,33,33,33,33,33,33,33,33,34,34,36,36,36,36,36,36,36,36,36,36,36,36
0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,3,4,4,5,5,6,7,7,7,7,7,7,7,7,7,7,7,8,9,10,10,10,12,13,13,14,15,16,16,16,17,17,17,17,17,17,18,18,18,18,19,20,20,20,23,23,23,23,23,23,23,24,24,24,24,24,24,25,26,26,26,27,27,28,28,28,28,29,29,30,31,32,33,33,34,34,35,35,35,36,37,38,38,38,39,39,40,40,40,41,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44,44
0,0,0,0,0,1,2,3,5,5,6,6,8,8,9,10,10,11,11,11,11,12,12,14,14,16,16,16,17,19,19,19,19,19,19,19,19,19,19,20,23,23,23,23,23,23,23,24,25,26,27,27,29,31,31,32,33,35,35,35,36,37,39,40,40,40,41,42,42,43,44,44,44,45,45,48,48,47,47,48,49,49,49,49,49,49,51,51,51,51,55,55,55,55,55,56,57,57,57,57,57,57,57,57,58,59,59,59,60,61,62,63,64,64,64,64,64,64,64,64,64
0,0,1,1,1,1,2,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,7,7,8,9,10,10,12,12,12,12,12,13,14,14,14,15,15,16,17,17,18,18,18,18,19,19,19,19,21,21,21,21,21,21,22,24,24,24,23,23,23,24,25,26,26,26,26,26,26,26,26,27,27,28,28,28,28,28,28,28,28,29,30,30,31,32,33,34,35,35,36,38,38,39,39,39,39,39,39,40,40,40,41,41,41,42,42,42,43,43,43,43,43,43,43,43,43,43
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1,-1,-1,-1,-1,-1,-1,-1,-4,-4,-7,-7,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-13,-13,-13,-13,-13,-13,-15,-15,-15,-15,-15,-15,-15,-15,-17,-17,-17,-17,-17,-19,-19,-19,-19,-19,-19,-19,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29
0,0,-4,-8,-8,-10,-10,-10,-10,-10,-10,-12,-12,-12,-20,-20,-20,-20,-20,-20,-22,-22,-22,-22,-30,-30,-38,-38,-38,-38,-48,-58,-58,-60,-60,-62,-62,-62,-62,-62,-62,-62,-62,-62,-72,-72,-72,-72,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-82,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-102,-102,-102,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122
-6,-6,-6,-6,-6,-6,-6,-9,-9,-15,-21,-21,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-36,-36,-36,-36,-47,-47,-47,-70,-69,-69,-69,-67,-66,-66,-66,-63,-86,-86,-86,-86,-105,-105,-104,-104,-103,-122,-122,-121,-121,-121,-121,-121,-121,-121,-121,-121,-121,-121,-120,-120,-120,-120,-120,-120,-120,-119,-119,-119,-119,-119,-118,-118,-117,-116,-115,-114,-114,-114,-114,-114,-129,-129,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144
