demands,rdf,rde,success,time_over
76,0,0,4,0
76,0,2,8,0
76,0,2,8,0
76,3,4,9,0
76,6,8,12,0
76,7,10,15,0
76,10,14,16,0
76,12,17,17,0
76,14,19,18,1
76,14,19,21,2
76,15,21,21,2
76,15,21,21,2
76,16,21,21,7
76,16,21,23,13
76,16,21,24,19
76,16,21,24,19
